"Day","Product variant SKU","Product ID","Orders","Gross sales","Discounts","Returns","Net sales","Shipping charges","Duties","Additional fees","Taxes","Total sales","Net items sold","Day (previous_period)","Orders (previous_period)","Gross sales (previous_period)","Discounts (previous_period)","Returns (previous_period)","Net sales (previous_period)","Shipping charges (previous_period)","Duties (previous_period)","Additional fees (previous_period)","Taxes (previous_period)","Total sales (previous_period)","Net items sold (previous_period)","Orders (previous_period) ","Gross sales (previous_period) ","Discounts (previous_period) ","Returns (previous_period) ","Net sales (previous_period) ","Shipping charges (previous_period) ","Duties (previous_period) ","Additional fees (previous_period) ","Taxes (previous_period) ","Total sales (previous_period) ","Net items sold (previous_period) "
"2026-05-01","JOG5-S",8178649497787,1,1245,0,0,1245,0,0,0,0,1245,1,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","JR26-40",8224724582587,1,1790,0,0,1790,0,0,0,0,1790,1,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","K25-30",7902973100219,3,5970,0,0,5970,0,0,0,0,5970,3,"2026-04-06",1,1790,0,0,1790,0,0,0,0,1790,1,200,233.519,,,233.519,,,,,233.519,200
"2026-05-01","PV51-34",7903698780347,3,5970,0,-1990,3980,0,0,0,0,3980,2,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","CHR4-32",8275989004475,1,1990,0,0,1990,0,0,0,0,1990,1,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","STP4-32",8279997579451,0,0,0,0,0,0,0,0,0,0,0,"2026-04-06",1,2590,0,0,2590,0,0,0,0,2590,1,-100,-100,,,-100,,,,,-100,-100
"2026-05-01","CSP2-XXL",8268881330363,0,0,0,0,0,0,0,0,0,0,0,"2026-04-06",1,1990,0,0,1990,0,0,0,0,1990,1,-100,-100,,,-100,,,,,-100,-100
"2026-05-01","CHR1-40",8275990479035,1,1990,0,0,1990,0,0,0,0,1990,1,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","PVRT6-42",8136390901947,0,0,0,0,0,0,0,0,0,0,0,"2026-04-06",1,2590,0,0,2590,0,0,0,0,2590,1,-100,-100,,,-100,,,,,-100,-100
"2026-05-01","LS6-40",8005923078331,1,990,0,0,990,0,0,0,0,990,1,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
